name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end
Jijel Achouat,DZ,JIJ,60351,DAAV,36.8833,5.8167,2.0,Africa/Algiers,1981-11-01,2026-03-10,1981-11-01,2027-12-08,1981-01-01,2021-01-01
Jijel Port,DZ,JIJ,60353,,36.8333,5.7833,2.0,Africa/Algiers,,,1996-09-30,2025-12-11,1988-01-01,2019-01-01
Skikda,DZ,SKI,60355,DABP,36.9333,6.95,7.0,Africa/Algiers,1957-02-06,2025-04-10,1957-12-31,2027-12-30,1966-01-01,2022-01-01
Annaba,DZ,ETA,60360,DABB,36.8333,7.8167,4.0,Africa/Algiers,1945-06-09,2026-03-10,1945-06-09,2027-12-30,1957-01-01,2022-01-01
El-Kala,DZ,ETA,60367,,36.9,8.45,10.0,Africa/Algiers,,,1984-07-05,2014-08-13,1984-01-01,2014-01-01
Alger Port,DZ,ALG,60369,,36.7667,3.1,8.0,Africa/Algiers,,,1943-03-25,2027-12-30,1943-01-01,2022-01-01
Dellys,DZ,BMD,60387,,36.9167,3.95,12.0,Africa/Algiers,,,1995-11-06,2025-08-16,1991-01-01,2021-01-01
Dar-El-Beida,DZ,BMD,60390,DAAG,36.7167,3.25,25.0,Africa/Algiers,1943-04-01,2026-03-10,1940-01-01,2027-12-28,1940-01-01,2022-01-01
Tizi-Ouzou,DZ,TOU,60395,,36.7,4.05,195.0,Africa/Algiers,,,1879-01-04,2027-12-29,1879-01-01,2022-01-01
Bejaia-Port / Béjaïa,DZ,BEJ,60401,,36.75,5.1,3.0,Africa/Algiers,,,1909-11-23,2025-12-11,1909-01-01,2011-01-01
Bejaia,DZ,BEJ,60402,DAAE,36.7167,5.0667,2.0,Africa/Algiers,1973-01-01,2026-03-10,1973-01-01,2027-12-30,1970-01-01,2021-01-01
Guelma,DZ,GUE,60403,,36.4667,7.4667,227.0,Africa/Algiers,,,1995-10-25,2027-12-30,1986-01-01,2021-01-01
Guelma / Bouchegouf,DZ,GUE,60405,,36.5,7.7167,0.0,Africa/Algiers,,,2002-06-05,2004-03-07,1999-01-01,2021-01-01
Tenes,DZ,CHL,60410,,36.5,1.3333,59.0,Africa/Algiers,,,1957-05-07,2004-03-07,1990-01-01,2021-01-01
Ain-Bessam / Oulad Zidane,DZ,MED,60415,,36.3167,3.5333,748.0,Africa/Algiers,,,2003-03-30,2027-08-19,1993-01-01,2021-01-01
Bouira,DZ,BOA,60417,,36.3833,3.9,635.0,Africa/Algiers,,,1995-11-02,2027-12-28,1989-01-01,2021-01-01
Constantine,DZ,CON,60419,DABC,36.2833,6.6167,694.0,Africa/Algiers,1943-03-01,2026-03-10,1943-03-01,2027-12-30,1943-01-01,2022-01-01
Oum El Bouaghi,DZ,OEB,60421,,35.8833,7.1167,889.0,Africa/Algiers,,,1985-02-07,2027-12-30,1985-01-01,2022-01-01
Souk Ahras,DZ,SAH,60423,,36.2833,7.9667,680.0,Africa/Algiers,,,1995-10-31,2027-12-30,1985-01-01,2021-01-01
Chlef,DZ,CHL,60425,DAOI,36.2167,1.3333,143.0,Africa/Algiers,1943-01-07,2026-03-10,1943-01-07,2027-12-30,1966-01-01,2022-01-01
Miliana,DZ,ADE,60430,,36.3,2.2333,715.0,Africa/Algiers,,,1957-03-19,2027-12-30,1975-01-01,2021-01-01
Medea,DZ,MED,60437,,36.2667,2.75,981.0,Africa/Algiers,,,1995-10-25,2027-12-30,1989-01-01,2021-01-01
Bordj Bou Arreridj,DZ,BBA,60444,,36.0667,4.7667,928.0,Africa/Algiers,,,1979-10-01,2027-12-30,1980-01-01,2021-01-01
Setif,DZ,BBA,60445,DAAS,36.1833,5.4167,1038.0,Africa/Algiers,1949-01-15,2026-03-10,1957-07-08,2027-12-30,1980-01-01,2022-01-01
Arzew,DZ,ORA,60452,,35.8167,-0.2667,4.0,Africa/Algiers,,,1985-02-07,2027-12-30,1985-01-01,2021-01-01
Mostaganem Ville,DZ,MOS,60457,,35.8833,0.1167,137.0,Africa/Algiers,,,1976-04-28,2027-12-30,1976-01-01,2021-01-01
Oran Port,DZ,AN,60461,,35.7,-0.65,22.0,Africa/Algiers,,,1995-10-27,2027-12-30,1988-01-01,2022-01-01
M'Sila,DZ,MSI,60467,,35.6667,4.5,441.0,Africa/Algiers,,,1981-01-01,2027-12-30,1978-01-01,2021-01-01
Batna,DZ,BAT,60468,DABT,35.55,6.1833,1052.0,Africa/Algiers,1973-01-01,2026-03-10,1973-04-03,2027-12-30,1975-01-01,2021-01-01
Barika,DZ,BAT,60471,,35.3333,5.3333,0.0,Africa/Algiers,,,2003-11-18,2027-11-25,1989-01-01,2021-01-01
Tebessa,DZ,TEB,60475,DABS,35.4833,8.1333,813.0,Africa/Algiers,1951-01-02,2026-03-10,1958-03-30,2027-12-30,1961-01-01,2022-01-01
Khenchella,DZ,KHE,60476,,35.4167,7.15,1116.0,Africa/Algiers,,,1996-06-06,2027-09-30,1997-01-01,2021-01-01
Oran / Es Senia,DZ,ORA,60490,DAOO,35.6333,-0.6,90.0,Africa/Algiers,1949-01-02,2026-03-10,1957-01-01,2027-12-29,1949-01-01,2022-01-01
Relizane,DZ,REL,60492,,35.7333,0.55,0.0,Africa/Algiers,,,,,2004-01-01,2021-01-01
Mascara Metmore,DZ,MOS,60506,,35.6,0.3,474.0,Africa/Algiers,,,1981-01-04,2008-04-30,1980-01-01,2008-01-01
Mascara-Ghriss,DZ,MC,60507,DAOV,35.2,0.1333,514.0,Africa/Algiers,1943-05-21,2026-03-10,1943-05-21,2027-12-30,1983-01-01,2022-01-01
Tiaret,DZ,TIA,60511,DAOB,35.25,1.4333,1127.0,Africa/Algiers,1983-04-04,2026-03-10,1983-05-21,2027-12-30,1984-01-01,2022-01-01
Ksar Chellala,DZ,DJE,60514,,35.1667,2.3167,800.0,Africa/Algiers,,,1995-11-09,2027-12-30,1989-01-01,2021-01-01
Bou-Saada,DZ,MSI,60515,DAAD,35.3333,4.2,461.0,Africa/Algiers,1984-03-01,2026-03-09,1984-03-02,2027-12-30,1985-01-01,2021-01-01
Ghazaouet,DZ,TLE,60517,,35.1,-1.8667,83.0,Africa/Algiers,,,1878-01-01,2027-12-30,1878-01-01,2021-01-01
Beni-Saf,DZ,TLE,60518,,35.3,-1.35,68.0,Africa/Algiers,,,1976-03-19,2027-12-14,1976-01-01,2022-01-01
Sidi Bel Abbes,DZ,SBA,60520,,35.1833,-2.6167,450.0,Africa/Algiers,,,1995-10-25,2027-12-30,1985-01-01,2021-01-01
