station_id,station_name,total_days,missing_days,tavg_continuous_from,tmin_continuous_from,tmax_continuous_from,prcp_continuous_from,snow_continuous_from,wdir_continuous_from,wspd_continuous_from,wpgt_continuous_from,pres_continuous_from,tsun_continuous_from
60351,Jijel Achouat,11160,992,2026-02-13,2026-02-14,2026-02-14,2026-02-15,,,2026-02-13,,2026-02-13,
60353,Jijel Port,11160,8532,2026-02-14,2026-02-15,2026-02-15,2026-02-15,,,2026-02-14,,2026-02-14,
60355,Skikda,11160,1112,2026-02-14,2026-02-15,2026-02-15,2026-02-15,,,2026-02-14,,2026-02-14,
60360,Annaba,11160,8,2016-03-20,2017-12-14,2018-07-21,2025-03-22,,,2017-12-14,2026-06-11,2018-05-29,
60367,El-Kala,11160,7927,2026-05-05,2026-05-05,2026-05-05,2026-05-05,,,2026-05-05,,2026-05-05,
60369,Alger Port,11160,4766,2026-02-14,2026-02-15,2026-02-15,2026-02-15,,,2026-02-14,,2026-02-14,
60387,Dellys,11160,10266,2026-02-14,2026-02-15,2026-02-15,2026-02-15,,,2026-02-14,,2026-02-14,
60390,Dar-El-Beida,11160,139,2017-10-22,2018-07-21,2018-07-21,2025-04-19,,,2017-10-22,,2018-05-29,
60395,Tizi-Ouzou,11160,2562,2026-02-14,2026-02-15,2026-02-15,2026-02-15,,,2026-02-14,,2026-02-14,
60401,Bejaia-Port / Béjaïa,11160,9330,2026-02-14,2026-02-15,2026-02-15,2026-02-15,,,2026-02-14,,2026-02-14,
60402,Bejaia,11160,753,2026-02-13,2026-02-14,2026-02-14,2026-02-15,,,2026-02-13,,2026-02-13,
60403,Guelma,11160,3982,2026-02-14,2026-02-15,2026-02-15,2026-02-15,,,2026-02-14,,2026-02-14,
60405,Guelma / Bouchegouf,11160,10492,2026-02-14,2026-02-15,2026-02-15,2026-02-15,,,2026-02-14,,2026-02-14,
60410,Tenes,11160,10002,2026-02-14,2026-02-15,2026-02-15,2026-02-15,,,2026-02-14,,2026-02-14,
60415,Ain-Bessam / Oulad Zidane,11160,8893,2026-02-14,2026-02-15,2026-02-15,2026-02-15,,,2026-02-14,,2026-02-14,
60417,Bouira,11160,8340,2026-02-14,2026-02-15,2026-02-15,2026-02-15,,,2026-02-14,,2026-02-14,
60419,Constantine,11160,3,2003-02-27,2018-06-25,2018-07-21,2025-03-22,,,2017-12-14,2026-06-11,2018-05-29,
60421,Oum El Bouaghi,11160,2629,2026-02-14,2026-02-15,2026-02-15,2026-02-15,,,2026-02-14,,2026-02-14,
60423,Souk Ahras,11160,4098,2026-02-14,2026-02-15,2026-02-15,2026-02-15,,,2026-02-14,,2026-02-14,
60425,Chlef,11160,1266,2026-02-13,2026-02-14,2026-02-14,2026-02-15,,,2026-02-13,,2026-02-13,
60430,Miliana,11160,2116,2026-02-14,2026-02-15,2026-02-15,2026-02-15,,,2026-02-14,,2026-02-14,
60437,Medea,11160,3807,2026-02-14,2026-02-15,2026-02-15,2026-02-15,,,2026-02-14,,2026-02-14,
60444,Bordj Bou Arreridj,11160,2220,2026-02-14,2026-02-15,2026-02-15,2026-02-15,,,2026-02-14,,2026-02-14,
60445,Setif,11160,49,2026-02-13,2026-02-14,2026-02-14,2026-02-15,,,2026-02-13,,2026-02-13,
60452,Arzew,11160,4950,2021-01-02,2021-01-02,2021-01-02,2026-02-15,,,2026-02-14,,2026-02-14,
60457,Mostaganem Ville,11160,3764,2026-05-05,2026-05-05,2026-05-05,2026-05-05,,,2026-05-05,,2026-05-05,
60461,Oran Port,11160,6383,2026-02-14,2026-02-15,2026-02-15,2026-02-15,,,2026-02-14,,2026-02-14,
60467,M'Sila,11160,4012,2026-02-14,2026-02-15,2026-02-15,2026-02-15,,,2026-02-14,,2026-02-14,
60468,Batna,11160,583,2026-02-14,2026-02-14,2026-02-14,2026-02-15,,,2026-02-14,,2026-02-14,
60471,Barika,11160,9167,2026-02-14,2026-02-15,2026-02-15,2026-02-15,,,2026-02-14,,2026-02-14,
60475,Tebessa,11160,114,2015-01-19,2018-05-23,2018-07-21,2025-03-22,,,2018-07-20,2026-06-11,2018-05-29,
60476,Khenchella,11160,8276,2026-02-14,2026-02-15,2026-02-15,2026-02-15,,,2026-02-14,,2026-02-14,
60490,Oran / Es Senia,11160,478,2017-12-14,2018-07-21,2018-07-21,2025-03-22,,,2017-12-14,2024-10-31,2018-05-29,2024-10-31
60506,Mascara Metmore,11160,8195,2026-05-05,2026-05-05,2026-05-05,2026-05-05,,,2026-05-05,,2026-05-05,
60507,Mascara-Ghriss,11160,2484,2026-02-13,2026-02-14,2026-02-14,2026-05-05,,,2026-02-13,,2026-02-13,
60511,Tiaret,11160,45,2026-02-13,2026-02-14,2026-02-14,2026-02-15,,,2026-02-13,,2026-02-13,
60514,Ksar Chellala,11160,4110,2026-02-14,2026-02-15,2026-02-15,2026-02-15,,,2026-02-14,,2026-02-14,
60515,Bou-Saada,11160,3903,2026-02-14,2026-02-15,2026-02-15,2026-02-15,,,2026-02-14,,2026-02-14,
60517,Ghazaouet,11160,3949,2026-02-14,2026-02-15,2026-02-15,2026-02-15,,,2026-02-14,,2026-02-14,
60518,Beni-Saf,11160,2366,2026-02-14,2026-02-15,2026-02-15,2026-02-15,,,2026-02-14,,2026-02-14,
60520,Sidi Bel Abbes,11160,3789,2026-02-14,2026-02-15,2026-02-15,2026-02-15,,,2026-02-14,,2026-02-14,
60522,Maghnia,11160,4074,2026-02-14,2026-02-15,2026-02-15,2026-02-15,,,2026-02-14,,2026-02-14,
60525,Biskra,11160,592,2026-02-13,2026-02-14,2026-02-14,2026-02-15,,,2026-02-13,,2026-02-13,
60531,Tlemcen Zenata,11160,549,2026-02-13,2026-02-14,2026-02-14,2026-02-15,,,2026-02-13,,2026-02-13,
60535,Djelfa,11160,1409,2018-07-21,2018-07-21,2018-07-21,2025-03-22,,,2018-07-21,2026-06-11,2018-07-21,
60536,Saida,11160,3832,2026-02-14,2026-02-15,2026-02-15,2026-02-15,,,2026-02-14,,2026-02-14,
60540,El Kheiter,11160,4008,2026-02-14,2026-02-15,2026-02-15,2026-02-15,,,2026-02-14,,2026-02-14,
60545,Laghouat,11160,4895,2026-02-14,2026-02-14,2026-02-14,2026-02-15,,,2026-02-14,,2026-02-14,
60549,Mecheria,11160,1927,2026-02-13,2026-02-14,2026-02-14,2026-02-15,,,2026-02-13,,2026-02-13,
60550,Elbayadh,11160,2044,2024-09-04,2024-12-13,2024-09-05,2026-02-15,,,2026-02-14,,2026-02-14,
60555,Touggourt,11160,703,2026-02-13,2026-02-14,2026-02-14,2026-02-15,,,2026-02-13,,2026-02-13,
60557,Naama,11160,5042,2026-02-14,2026-02-15,2026-02-15,2026-02-15,,,2026-02-14,,2026-02-14,
60559,El Oued,11160,620,2026-02-13,2026-02-14,2026-02-14,2026-02-15,,,2026-02-13,,2026-02-13,
60560,Ain Sefra,11160,2202,2026-02-14,2026-02-15,2026-02-15,2026-02-15,,,2026-02-14,,2026-02-14,
60563,Hassir'Mel / Berriane,11160,10281,2026-02-14,2026-02-15,2026-02-15,2026-02-15,,,2026-02-14,,2026-02-14,
60566,Ghardaia,11160,401,2018-07-21,2018-07-21,2018-07-21,2025-03-22,,,2018-07-21,2026-06-11,2018-07-21,
60571,Bechar,11160,446,2018-04-03,2018-07-21,2018-07-21,2025-04-19,,,2018-07-04,,2018-07-21,
60580,Ouargla,11160,1277,2026-02-13,2026-02-14,2026-02-14,2026-02-15,,,2026-02-13,,2026-02-13,
60581,Hassi-Messaoud,11160,449,2026-02-13,2026-02-14,2026-02-14,2026-02-15,,,2026-02-13,,2026-02-13,
60590,El Golea,11160,353,2017-02-03,2018-02-27,2018-07-21,2025-03-22,,,2018-07-04,,2018-07-20,
60602,Beni Abbes,11160,2404,2026-02-14,2026-02-15,2026-02-15,2026-02-15,,,2026-02-14,,2026-02-14,
60603,Rhourd Nouss,11160,6486,2026-02-14,2026-02-15,2026-02-15,2026-02-15,,,2026-02-14,,2026-02-14,
60607,Timimoun,11160,1143,2026-02-13,2026-02-14,2026-02-14,2026-02-15,,,2026-02-13,,2026-02-13,
60611,In Amenas,11160,354,2026-02-13,2026-02-14,2026-02-14,2026-02-15,,,2026-02-13,,2026-02-13,
60620,Adrar,11160,621,2026-02-13,2026-02-14,2026-02-14,2026-02-15,,,2026-02-13,,2026-02-13,
60630,In Salah,11160,5421,2022-06-14,2022-06-14,2022-06-14,2025-09-11,,,2022-06-14,,2022-06-14,
60640,Illizi,11160,717,2026-02-13,2026-02-14,2026-02-14,2026-02-15,,,2026-02-13,,2026-02-13,
60645,Reggane / Reggan / Reggane-Plateau,11160,7598,2026-02-14,2026-02-15,2026-02-15,2026-02-15,,,2026-02-14,,2026-02-14,
