n_estimators,learning_rate,minibatch_frac,col_sample,base_max_depth,val_rmse
500,0.01,0.5,0.5,5,0.072319
100,0.05,0.75,1.0,3,0.073269
100,0.01,0.75,0.5,2,0.084098
500,0.05,0.75,0.75,5,0.076101
200,0.01,1.0,1.0,2,0.073356
200,0.01,0.75,0.75,3,0.072558
200,0.01,0.5,0.75,4,0.071604
100,0.05,1.0,1.0,5,0.074876
500,0.05,0.75,0.75,3,0.07504
100,0.05,0.75,0.75,2,0.073192
500,0.01,0.75,1.0,4,0.072528
500,0.1,1.0,1.0,2,0.07636
300,0.05,1.0,0.5,5,0.074195
100,0.05,0.5,1.0,2,0.07363
300,0.1,0.75,0.5,4,0.075126
300,0.01,0.5,0.5,2,0.072078
100,0.01,0.75,0.75,2,0.084266
100,0.01,0.75,0.5,5,0.074396
100,0.05,0.5,1.0,5,0.073272
200,0.01,0.5,0.5,5,0.071151
200,0.01,0.5,1.0,5,0.072976
300,0.05,0.5,0.75,4,0.075135
300,0.1,0.75,1.0,2,0.077032
100,0.01,0.75,0.5,3,0.077952
300,0.05,1.0,1.0,5,0.075754
100,0.1,1.0,0.75,3,0.074132
500,0.05,0.5,0.75,4,0.076124
500,0.01,0.5,1.0,2,0.072066
500,0.01,1.0,1.0,5,0.074221
500,0.1,0.75,1.0,5,0.078217
200,0.1,1.0,1.0,4,0.074831
200,0.01,0.5,0.75,2,0.073025
300,0.01,0.75,0.5,3,0.072229
300,0.1,0.75,0.5,3,0.077632
200,0.01,1.0,1.0,4,0.071601
100,0.01,0.5,0.5,5,0.074937
500,0.05,1.0,0.75,2,0.073438
100,0.1,0.5,1.0,3,0.077037
500,0.01,1.0,1.0,3,0.072418
500,0.1,0.75,1.0,2,0.077929
200,0.05,1.0,0.75,4,0.073759
500,0.1,0.5,0.5,3,0.0767
100,0.1,0.5,0.75,5,0.082081
200,0.01,0.5,0.5,4,0.071405
200,0.05,1.0,0.75,2,0.072642
500,0.1,1.0,0.5,4,0.077376
500,0.1,0.75,0.75,3,0.075836
200,0.1,0.75,0.5,4,0.07484
100,0.05,0.75,0.5,3,0.072672
200,0.1,0.5,0.5,5,0.077372
200,0.05,1.0,1.0,2,0.073243
300,0.1,0.75,1.0,3,0.077965
200,0.01,1.0,0.5,5,0.0722
100,0.01,0.75,1.0,4,0.07678
500,0.05,0.75,0.5,3,0.074747
300,0.01,0.75,0.75,5,0.072605
300,0.05,0.75,1.0,4,0.074249
100,0.05,1.0,0.5,5,0.073195
200,0.1,0.75,0.5,3,0.076586
100,0.05,0.5,0.75,2,0.072678
300,0.05,1.0,0.75,4,0.074012
200,0.05,0.5,0.75,4,0.074466
300,0.1,1.0,1.0,3,0.076643
300,0.1,1.0,0.75,2,0.07554
200,0.1,0.5,0.75,3,0.074742
300,0.1,0.5,0.75,5,0.084056
100,0.1,1.0,0.5,4,0.075325
500,0.05,0.5,0.5,2,0.074675
100,0.01,1.0,1.0,5,0.07704
100,0.01,0.75,1.0,5,0.075986
500,0.01,0.75,0.5,4,0.072599
200,0.01,0.5,1.0,2,0.072915
200,0.05,0.5,0.75,2,0.073947
500,0.05,0.75,0.5,2,0.074136
500,0.1,0.75,0.5,5,0.079084
100,0.05,0.75,0.5,5,0.07433
500,0.05,1.0,0.5,2,0.07407
500,0.05,1.0,0.75,4,0.074925
300,0.01,0.75,0.75,2,0.072712
500,0.01,0.5,0.5,3,0.071924
200,0.1,0.5,0.75,4,0.076889
100,0.1,0.5,1.0,5,0.079462
200,0.1,0.5,1.0,3,0.078157
200,0.1,0.5,0.5,3,0.075415
100,0.1,1.0,1.0,5,0.074268
500,0.01,0.75,0.75,5,0.072987
200,0.01,1.0,0.75,2,0.073448
500,0.01,0.5,0.75,5,0.074013
100,0.05,0.5,0.5,2,0.072654
300,0.1,0.75,1.0,5,0.078093
500,0.01,1.0,0.75,2,0.072748
100,0.1,0.75,0.5,5,0.0773
300,0.05,0.75,1.0,3,0.074458
500,0.1,1.0,0.75,4,0.076557
500,0.01,1.0,0.5,4,0.072831
300,0.01,0.75,1.0,2,0.072468
500,0.01,1.0,0.75,5,0.073702
200,0.01,1.0,0.75,4,0.071606
500,0.1,1.0,1.0,5,0.07657
300,0.05,1.0,1.0,3,0.074512
500,0.1,0.5,0.75,2,0.078488
200,0.05,0.75,1.0,4,0.074003
100,0.01,1.0,0.75,2,0.086295
200,0.01,0.5,1.0,3,0.071574
500,0.1,0.75,0.75,5,0.079046
200,0.05,0.75,0.75,3,0.073817
200,0.1,1.0,0.5,3,0.075574
200,0.01,1.0,0.75,3,0.072104
100,0.01,1.0,1.0,3,0.078358
200,0.01,0.5,0.5,2,0.073032
300,0.1,0.5,0.5,4,0.078479
500,0.01,0.5,0.5,4,0.072128
300,0.1,1.0,1.0,4,0.075458
300,0.05,0.5,0.5,5,0.075216
200,0.1,0.75,1.0,4,0.076807
300,0.01,0.75,0.75,4,0.072299
100,0.1,0.5,0.5,3,0.073749
500,0.1,1.0,0.5,2,0.074105
500,0.1,1.0,0.75,2,0.076115
200,0.01,0.75,0.75,4,0.072187
500,0.1,0.5,1.0,5,0.081725
300,0.05,0.75,1.0,5,0.074616
200,0.01,1.0,0.5,4,0.072099
300,0.1,0.5,1.0,5,0.081572
300,0.01,0.5,0.5,5,0.071559
300,0.1,0.5,1.0,4,0.083897
200,0.1,1.0,0.5,2,0.072934
500,0.05,0.5,0.75,5,0.077723
500,0.01,0.75,1.0,2,0.072394
100,0.05,1.0,1.0,4,0.07374
300,0.05,0.5,1.0,2,0.074947
300,0.05,0.5,0.5,2,0.073874
100,0.05,0.5,1.0,4,0.073714
100,0.01,1.0,0.5,2,0.086424
100,0.05,0.75,1.0,2,0.072872
100,0.1,0.5,0.75,4,0.076052
500,0.05,1.0,1.0,4,0.074663
500,0.05,1.0,1.0,2,0.074534
100,0.01,1.0,1.0,2,0.086002
200,0.1,0.75,0.75,3,0.073204
200,0.1,0.75,0.5,5,0.07822
300,0.01,0.75,1.0,5,0.072728
300,0.05,0.75,0.75,4,0.074224
200,0.01,0.75,1.0,2,0.073059
300,0.05,1.0,0.75,5,0.075082
100,0.01,0.5,0.75,3,0.076619
100,0.05,0.75,1.0,4,0.073479
500,0.05,0.75,0.5,5,0.076432
500,0.01,0.75,1.0,3,0.072277
500,0.05,1.0,0.75,5,0.075639
500,0.1,1.0,1.0,4,0.076289
500,0.05,0.5,1.0,4,0.075713
300,0.01,0.5,0.75,4,0.071971
100,0.1,0.5,1.0,2,0.073668
500,0.01,1.0,0.75,3,0.072782
100,0.01,0.5,0.5,3,0.076703
500,0.05,0.75,1.0,2,0.075172
300,0.05,0.5,0.75,2,0.074766
100,0.1,0.75,0.75,5,0.077421
300,0.05,0.5,0.75,5,0.076823
100,0.05,0.75,0.75,4,0.072725
200,0.05,0.5,1.0,2,0.074763
300,0.05,0.75,1.0,2,0.074358
500,0.1,0.5,1.0,4,0.083643
300,0.1,0.5,1.0,2,0.076042
200,0.1,0.5,1.0,5,0.081336
100,0.1,0.5,1.0,4,0.080055
100,0.01,0.5,0.5,2,0.08494
200,0.05,0.75,1.0,3,0.073767
300,0.01,1.0,1.0,4,0.072192
100,0.01,0.5,1.0,3,0.075685
300,0.05,1.0,0.75,3,0.073724
300,0.1,0.75,0.75,2,0.076117
200,0.05,0.75,0.5,3,0.072855
200,0.01,0.75,0.5,4,0.07172
100,0.01,1.0,0.75,3,0.077382
200,0.01,0.75,0.5,5,0.071996
300,0.01,0.5,1.0,2,0.072176
200,0.05,0.5,0.5,3,0.073038
300,0.01,1.0,0.5,4,0.072373
100,0.01,0.75,1.0,2,0.083835
100,0.01,0.75,1.0,3,0.077805
200,0.1,0.5,0.75,5,0.083133
200,0.01,0.75,0.75,2,0.073338
200,0.1,1.0,0.75,2,0.074883
100,0.01,0.75,0.75,3,0.078448
500,0.01,0.5,1.0,5,0.073923
500,0.01,0.75,0.75,4,0.072769
200,0.1,0.75,0.75,2,0.075098
300,0.1,0.5,0.75,3,0.075939
300,0.1,0.75,0.5,2,0.076203
200,0.05,1.0,0.5,2,0.073268
200,0.01,0.75,0.5,3,0.072202
500,0.1,1.0,0.75,5,0.075721
100,0.05,0.5,0.75,4,0.074463
100,0.05,1.0,0.75,5,0.074519
300,0.1,1.0,0.5,4,0.07683
300,0.01,0.5,0.75,5,0.073394
200,0.05,0.5,1.0,5,0.073081
300,0.1,1.0,0.75,5,0.075414
300,0.05,0.75,0.75,5,0.074937
500,0.01,0.5,1.0,4,0.072545
500,0.1,1.0,0.5,5,0.077473
500,0.01,1.0,0.5,5,0.072898
500,0.05,0.75,1.0,3,0.074729
500,0.01,1.0,1.0,2,0.072575
200,0.1,0.5,0.5,4,0.077987
500,0.05,1.0,0.75,3,0.074815
100,0.1,1.0,0.75,4,0.074215
200,0.05,1.0,0.5,5,0.07374
500,0.01,0.5,0.75,4,0.072459
100,0.1,0.75,1.0,5,0.076707
300,0.1,0.75,0.5,5,0.078565
200,0.01,1.0,0.5,2,0.073267
200,0.01,0.5,0.75,5,0.072882
100,0.01,1.0,0.75,4,0.076939
500,0.05,0.75,0.5,4,0.077091
500,0.1,0.5,0.5,4,0.078828
500,0.01,0.5,1.0,3,0.071957
100,0.1,0.75,0.5,4,0.074552
300,0.05,1.0,1.0,4,0.073949
300,0.05,1.0,0.75,2,0.072865
200,0.01,1.0,1.0,3,0.071663
500,0.1,0.5,1.0,2,0.077353
200,0.1,1.0,0.75,4,0.075928
300,0.1,0.5,1.0,3,0.079106
300,0.05,1.0,0.5,2,0.073473
100,0.01,0.75,0.75,4,0.076739
500,0.01,1.0,0.5,2,0.072639
300,0.1,1.0,1.0,2,0.075382
500,0.1,0.75,0.75,4,0.078052
300,0.01,1.0,0.75,5,0.073399
300,0.01,1.0,0.75,4,0.072006
100,0.01,0.5,1.0,2,0.084404
100,0.1,0.75,0.5,2,0.074295
300,0.1,0.75,0.75,3,0.074968
200,0.01,0.75,1.0,5,0.07233
