filters,lstm_units,dropout,lr,kernel_size,val_rmse
32,32,0.1,0.001,3,0.077941
32,32,0.1,0.001,5,0.075963
32,32,0.1,0.0005,3,0.079875
32,32,0.1,0.0005,5,0.076201
32,32,0.2,0.001,3,0.078282
32,32,0.2,0.001,5,0.076363
32,32,0.2,0.0005,3,0.077457
32,32,0.2,0.0005,5,0.077519
32,64,0.1,0.001,3,0.077762
32,64,0.1,0.001,5,0.075587
32,64,0.1,0.0005,3,0.078268
32,64,0.1,0.0005,5,0.075498
32,64,0.2,0.001,3,0.078317
32,64,0.2,0.001,5,0.075435
32,64,0.2,0.0005,3,0.078861
32,64,0.2,0.0005,5,0.076309
64,32,0.1,0.001,3,0.077793
64,32,0.1,0.001,5,0.075802
64,32,0.1,0.0005,3,0.07977
64,32,0.1,0.0005,5,0.075924
64,32,0.2,0.001,3,0.078302
64,32,0.2,0.001,5,0.075684
64,32,0.2,0.0005,3,0.078453
64,32,0.2,0.0005,5,0.075993
64,64,0.1,0.001,3,0.077539
64,64,0.1,0.001,5,0.075408
64,64,0.1,0.0005,3,0.077799
64,64,0.1,0.0005,5,0.075571
64,64,0.2,0.001,3,0.077429
64,64,0.2,0.001,5,0.07561
64,64,0.2,0.0005,3,0.077855
64,64,0.2,0.0005,5,0.075857
