n_estimators,learning_rate,loss,base_max_depth,val_rmse
50,0.01,linear,2,0.097273
50,0.01,linear,3,0.089977
50,0.01,linear,4,0.086449
50,0.01,linear,5,0.084098
50,0.01,square,2,0.09833
50,0.01,square,3,0.087996
50,0.01,square,4,0.086303
50,0.01,square,5,0.085258
50,0.01,exponential,2,0.09822
50,0.01,exponential,3,0.089238
50,0.01,exponential,4,0.086808
50,0.01,exponential,5,0.084459
50,0.05,linear,2,0.096207
50,0.05,linear,3,0.087337
50,0.05,linear,4,0.084145
50,0.05,linear,5,0.083583
50,0.05,square,2,0.093888
50,0.05,square,3,0.085813
50,0.05,square,4,0.084514
50,0.05,square,5,0.083602
50,0.05,exponential,2,0.096865
50,0.05,exponential,3,0.087818
50,0.05,exponential,4,0.085549
50,0.05,exponential,5,0.084409
50,0.1,linear,2,0.093282
50,0.1,linear,3,0.086281
50,0.1,linear,4,0.084318
50,0.1,linear,5,0.083093
50,0.1,square,2,0.091196
50,0.1,square,3,0.08448
50,0.1,square,4,0.083348
50,0.1,square,5,0.082609
50,0.1,exponential,2,0.092931
50,0.1,exponential,3,0.087057
50,0.1,exponential,4,0.084289
50,0.1,exponential,5,0.08291
50,0.5,linear,2,0.090956
50,0.5,linear,3,0.085012
50,0.5,linear,4,0.082765
50,0.5,linear,5,0.082273
50,0.5,square,2,0.089089
50,0.5,square,3,0.085552
50,0.5,square,4,0.082265
50,0.5,square,5,0.082431
50,0.5,exponential,2,0.089892
50,0.5,exponential,3,0.085334
50,0.5,exponential,4,0.081799
50,0.5,exponential,5,0.081744
50,1.0,linear,2,0.088916
50,1.0,linear,3,0.086619
50,1.0,linear,4,0.082435
50,1.0,linear,5,0.081922
50,1.0,square,2,0.091305
50,1.0,square,3,0.084424
50,1.0,square,4,0.082563
50,1.0,square,5,0.078408
50,1.0,exponential,2,0.088933
50,1.0,exponential,3,0.085025
50,1.0,exponential,4,0.082248
50,1.0,exponential,5,0.081272
100,0.01,linear,2,0.097562
100,0.01,linear,3,0.088644
100,0.01,linear,4,0.086105
100,0.01,linear,5,0.083161
100,0.01,square,2,0.097568
100,0.01,square,3,0.087428
100,0.01,square,4,0.085335
100,0.01,square,5,0.084158
100,0.01,exponential,2,0.097917
100,0.01,exponential,3,0.089132
100,0.01,exponential,4,0.086653
100,0.01,exponential,5,0.083985
100,0.05,linear,2,0.092395
100,0.05,linear,3,0.086775
100,0.05,linear,4,0.083856
100,0.05,linear,5,0.082273
100,0.05,square,2,0.091255
100,0.05,square,3,0.084415
100,0.05,square,4,0.083353
100,0.05,square,5,0.082665
100,0.05,exponential,2,0.09443
100,0.05,exponential,3,0.087279
100,0.05,exponential,4,0.084259
100,0.05,exponential,5,0.083875
100,0.1,linear,2,0.089777
100,0.1,linear,3,0.08478
100,0.1,linear,4,0.083666
100,0.1,linear,5,0.082365
100,0.1,square,2,0.091337
100,0.1,square,3,0.083759
100,0.1,square,4,0.082817
100,0.1,square,5,0.081772
100,0.1,exponential,2,0.090413
100,0.1,exponential,3,0.08554
100,0.1,exponential,4,0.082956
100,0.1,exponential,5,0.082023
100,0.5,linear,2,0.089648
100,0.5,linear,3,0.084498
100,0.5,linear,4,0.082389
100,0.5,linear,5,0.080541
100,0.5,square,2,0.087592
100,0.5,square,3,0.085654
100,0.5,square,4,0.081506
100,0.5,square,5,0.081069
100,0.5,exponential,2,0.090225
100,0.5,exponential,3,0.084155
100,0.5,exponential,4,0.081465
100,0.5,exponential,5,0.081657
100,1.0,linear,2,0.089323
100,1.0,linear,3,0.085958
100,1.0,linear,4,0.081565
100,1.0,linear,5,0.081226
100,1.0,square,2,0.087961
100,1.0,square,3,0.08427
100,1.0,square,4,0.081952
100,1.0,square,5,0.078924
100,1.0,exponential,2,0.089186
100,1.0,exponential,3,0.085081
100,1.0,exponential,4,0.081752
100,1.0,exponential,5,0.081951
200,0.01,linear,2,0.096742
200,0.01,linear,3,0.087536
200,0.01,linear,4,0.085223
200,0.01,linear,5,0.083291
200,0.01,square,2,0.095579
200,0.01,square,3,0.086989
200,0.01,square,4,0.084657
200,0.01,square,5,0.083301
200,0.01,exponential,2,0.096623
200,0.01,exponential,3,0.087931
200,0.01,exponential,4,0.085707
200,0.01,exponential,5,0.083185
200,0.05,linear,2,0.089492
200,0.05,linear,3,0.085406
200,0.05,linear,4,0.083065
200,0.05,linear,5,0.081575
200,0.05,square,2,0.092382
200,0.05,square,3,0.084359
200,0.05,square,4,0.082242
200,0.05,square,5,0.081794
200,0.05,exponential,2,0.090363
200,0.05,exponential,3,0.085471
200,0.05,exponential,4,0.083327
200,0.05,exponential,5,0.082675
200,0.1,linear,2,0.089795
200,0.1,linear,3,0.084839
200,0.1,linear,4,0.082694
200,0.1,linear,5,0.081814
200,0.1,square,2,0.08967
200,0.1,square,3,0.084341
200,0.1,square,4,0.082065
200,0.1,square,5,0.081528
200,0.1,exponential,2,0.089444
200,0.1,exponential,3,0.084499
200,0.1,exponential,4,0.082088
200,0.1,exponential,5,0.081412
200,0.5,linear,2,0.088844
200,0.5,linear,3,0.085167
200,0.5,linear,4,0.08272
200,0.5,linear,5,0.080776
200,0.5,square,2,0.087781
200,0.5,square,3,0.085457
200,0.5,square,4,0.081533
200,0.5,square,5,0.081451
200,0.5,exponential,2,0.09077
200,0.5,exponential,3,0.084562
200,0.5,exponential,4,0.082074
200,0.5,exponential,5,0.081647
200,1.0,linear,2,0.089885
200,1.0,linear,3,0.085181
200,1.0,linear,4,0.081937
200,1.0,linear,5,0.081165
200,1.0,square,2,0.088056
200,1.0,square,3,0.084107
200,1.0,square,4,0.082402
200,1.0,square,5,0.079875
200,1.0,exponential,2,0.090217
200,1.0,exponential,3,0.085357
200,1.0,exponential,4,0.081087
200,1.0,exponential,5,0.081707
300,0.01,linear,2,0.095251
300,0.01,linear,3,0.087221
300,0.01,linear,4,0.084706
300,0.01,linear,5,0.082979
300,0.01,square,2,0.093593
300,0.01,square,3,0.086418
300,0.01,square,4,0.083935
300,0.01,square,5,0.082738
300,0.01,exponential,2,0.096279
300,0.01,exponential,3,0.08721
300,0.01,exponential,4,0.084863
300,0.01,exponential,5,0.083064
300,0.05,linear,2,0.089256
300,0.05,linear,3,0.084963
300,0.05,linear,4,0.082658
300,0.05,linear,5,0.081338
300,0.05,square,2,0.090837
300,0.05,square,3,0.083906
300,0.05,square,4,0.081876
300,0.05,square,5,0.081491
300,0.05,exponential,2,0.089191
300,0.05,exponential,3,0.084833
300,0.05,exponential,4,0.082915
300,0.05,exponential,5,0.08227
300,0.1,linear,2,0.090417
300,0.1,linear,3,0.084757
300,0.1,linear,4,0.082671
300,0.1,linear,5,0.081591
300,0.1,square,2,0.089765
300,0.1,square,3,0.084239
300,0.1,square,4,0.082118
300,0.1,square,5,0.081187
300,0.1,exponential,2,0.089691
300,0.1,exponential,3,0.084443
300,0.1,exponential,4,0.082396
300,0.1,exponential,5,0.081167
300,0.5,linear,2,0.088613
300,0.5,linear,3,0.084845
300,0.5,linear,4,0.082472
300,0.5,linear,5,0.080496
300,0.5,square,2,0.088127
300,0.5,square,3,0.085187
300,0.5,square,4,0.081554
300,0.5,square,5,0.080596
300,0.5,exponential,2,0.092346
300,0.5,exponential,3,0.085069
300,0.5,exponential,4,0.082246
300,0.5,exponential,5,0.081026
300,1.0,linear,2,0.089885
300,1.0,linear,3,0.085102
300,1.0,linear,4,0.081405
300,1.0,linear,5,0.080682
300,1.0,square,2,0.088188
300,1.0,square,3,0.084123
300,1.0,square,4,0.08215
300,1.0,square,5,0.080086
300,1.0,exponential,2,0.091239
300,1.0,exponential,3,0.085167
300,1.0,exponential,4,0.081825
300,1.0,exponential,5,0.08126
