n_estimators,max_depth,learning_rate,subsample,min_samples_split,val_rmse
500,4,0.1,0.7,2,0.08406
100,5,0.05,0.7,2,0.080737
100,3,0.1,0.5,5,0.081915
500,6,0.2,0.6,2,0.086788
200,4,0.2,0.6,10,0.086558
200,4,0.01,0.8,5,0.085823
200,3,0.2,0.5,2,0.089935
100,5,0.2,0.8,5,0.088073
500,6,0.1,0.8,5,0.083228
100,5,0.01,0.7,10,0.109738
500,5,0.05,0.7,10,0.083249
300,6,0.1,0.7,2,0.086312
100,4,0.2,0.6,10,0.085371
500,3,0.1,0.6,5,0.086374
300,4,0.01,0.5,2,0.080533
100,3,0.1,0.7,10,0.084288
100,3,0.1,0.7,2,0.083769
100,4,0.2,0.8,10,0.087273
200,3,0.1,0.7,5,0.084145
200,3,0.2,0.8,5,0.085539
300,5,0.2,0.5,5,0.092179
500,3,0.2,0.6,5,0.090661
100,3,0.1,0.6,2,0.083246
300,6,0.2,0.8,5,0.088095
200,3,0.01,0.8,10,0.087653
500,6,0.05,0.5,5,0.083892
500,4,0.2,0.6,10,0.088081
500,5,0.2,0.8,5,0.089054
500,6,0.2,0.5,2,0.089834
300,3,0.2,0.8,2,0.086568
200,3,0.1,0.8,2,0.08554
300,4,0.1,0.6,2,0.085107
500,3,0.1,0.6,2,0.086554
200,4,0.2,0.7,10,0.088002
100,3,0.01,0.7,2,0.113219
100,6,0.05,0.7,5,0.081782
500,5,0.2,0.7,2,0.085275
500,6,0.1,0.8,2,0.08306
200,6,0.05,0.5,2,0.081421
500,6,0.05,0.5,10,0.084994
100,6,0.05,0.6,2,0.080929
200,3,0.1,0.6,5,0.084023
200,6,0.01,0.7,10,0.083482
500,6,0.2,0.5,10,0.088239
100,4,0.2,0.8,5,0.086248
300,3,0.01,0.6,10,0.082393
100,5,0.01,0.6,2,0.109301
200,6,0.1,0.7,5,0.085632
200,6,0.05,0.6,5,0.081547
500,3,0.2,0.7,2,0.087234
200,4,0.1,0.7,2,0.082689
100,3,0.2,0.7,10,0.084238
300,4,0.2,0.5,10,0.087405
300,6,0.05,0.8,2,0.082607
100,5,0.1,0.7,5,0.085533
300,3,0.01,0.6,2,0.08238
100,4,0.1,0.7,10,0.083625
300,6,0.2,0.5,5,0.083997
200,5,0.05,0.5,2,0.083999
500,4,0.05,0.7,5,0.084175
500,4,0.01,0.8,2,0.081577
200,6,0.1,0.8,5,0.08275
500,3,0.05,0.6,2,0.081967
200,3,0.01,0.6,5,0.087229
100,4,0.05,0.8,10,0.081136
100,3,0.2,0.8,5,0.08356
500,5,0.01,0.6,10,0.080091
200,3,0.2,0.6,10,0.088192
200,5,0.01,0.7,10,0.084388
100,4,0.1,0.8,2,0.08262
500,6,0.1,0.6,5,0.081885
100,5,0.01,0.7,5,0.10962
500,6,0.01,0.5,10,0.079835
500,6,0.01,0.7,10,0.079673
300,4,0.1,0.7,10,0.08509
500,4,0.1,0.5,10,0.086477
200,6,0.2,0.5,5,0.08407
100,6,0.05,0.8,5,0.082755
200,6,0.2,0.7,5,0.085558
200,6,0.1,0.6,2,0.082537
200,3,0.05,0.8,5,0.082472
500,5,0.05,0.5,10,0.083288
200,4,0.1,0.8,2,0.08358
500,4,0.2,0.6,2,0.090452
100,4,0.1,0.5,5,0.082332
500,3,0.2,0.8,10,0.087719
500,6,0.2,0.5,5,0.084034
100,6,0.1,0.7,5,0.0848
300,6,0.05,0.7,2,0.082738
500,6,0.2,0.7,2,0.08557
100,6,0.05,0.8,10,0.081464
300,4,0.2,0.6,10,0.088074
300,3,0.01,0.6,5,0.08238
200,4,0.2,0.5,2,0.087776
500,4,0.1,0.7,5,0.086939
300,6,0.2,0.7,2,0.085503
200,3,0.1,0.7,10,0.084334
200,5,0.2,0.7,10,0.085255
100,4,0.01,0.8,2,0.11159
200,3,0.2,0.7,2,0.083891
500,6,0.1,0.7,10,0.083488
200,5,0.1,0.8,10,0.083304
300,3,0.1,0.5,10,0.083754
200,4,0.1,0.8,5,0.083152
100,4,0.05,0.7,5,0.081945
200,3,0.1,0.5,2,0.082707
500,3,0.01,0.6,5,0.081437
200,5,0.1,0.8,5,0.081841
200,3,0.1,0.5,5,0.083108
300,5,0.1,0.7,5,0.086583
300,3,0.05,0.8,2,0.082969
300,4,0.2,0.5,5,0.087685
100,6,0.01,0.5,10,0.108082
200,4,0.1,0.7,5,0.084463
500,6,0.2,0.6,5,0.085473
200,4,0.05,0.5,2,0.081092
500,6,0.1,0.5,2,0.086363
300,6,0.05,0.8,10,0.082831
200,4,0.1,0.6,10,0.084625
500,3,0.05,0.8,5,0.083633
300,4,0.01,0.7,2,0.081208
500,3,0.05,0.8,2,0.083859
300,3,0.1,0.5,2,0.084887
500,5,0.1,0.8,5,0.083063
500,4,0.2,0.8,10,0.089517
100,5,0.2,0.8,2,0.087162
300,5,0.2,0.6,10,0.093926
300,5,0.1,0.5,5,0.084964
100,4,0.2,0.8,2,0.086677
100,4,0.01,0.5,2,0.110926
100,5,0.05,0.6,5,0.082127
100,6,0.05,0.5,2,0.080293
500,6,0.05,0.5,2,0.082731
500,6,0.01,0.8,5,0.080669
500,3,0.1,0.8,5,0.087144
100,4,0.05,0.6,10,0.081723
300,3,0.01,0.8,5,0.082841
300,3,0.01,0.7,2,0.082539
500,5,0.1,0.8,10,0.0836
300,4,0.2,0.8,10,0.088774
300,6,0.05,0.5,5,0.08354
200,4,0.05,0.6,10,0.082239
300,6,0.2,0.5,10,0.08816
100,3,0.01,0.8,10,0.113228
100,5,0.05,0.8,2,0.080596
500,6,0.01,0.8,10,0.080388
500,5,0.05,0.5,5,0.083791
500,6,0.01,0.8,2,0.080457
500,6,0.2,0.8,5,0.088137
500,5,0.2,0.5,5,0.092292
300,4,0.05,0.5,5,0.082777
100,6,0.05,0.6,10,0.079916
500,5,0.05,0.8,2,0.083051
100,3,0.01,0.6,2,0.112968
500,4,0.1,0.5,5,0.087508
300,5,0.1,0.7,10,0.085055
100,6,0.2,0.5,10,0.087623
300,5,0.2,0.6,2,0.092254
100,5,0.05,0.5,2,0.081969
200,5,0.05,0.6,10,0.082269
500,4,0.01,0.6,10,0.080814
500,6,0.05,0.8,10,0.083137
500,4,0.05,0.5,2,0.082541
200,6,0.2,0.8,5,0.088075
100,6,0.05,0.8,2,0.08196
300,6,0.1,0.5,2,0.08606
300,6,0.05,0.6,2,0.081852
100,3,0.01,0.5,2,0.112701
200,5,0.2,0.7,5,0.088176
300,5,0.05,0.7,10,0.08235
100,3,0.05,0.7,5,0.082184
500,3,0.2,0.7,5,0.089429
200,6,0.1,0.8,10,0.081274
200,5,0.1,0.5,10,0.085385
200,4,0.01,0.6,10,0.085057
100,4,0.01,0.8,10,0.11159
200,4,0.01,0.7,2,0.085379
500,4,0.2,0.5,5,0.088231
500,5,0.2,0.6,2,0.09275
100,4,0.2,0.6,2,0.086507
300,5,0.05,0.6,10,0.082873
100,4,0.05,0.8,5,0.081673
300,6,0.05,0.6,10,0.081684
100,5,0.1,0.7,10,0.083653
100,5,0.1,0.8,10,0.082462
300,5,0.01,0.7,2,0.080425
300,6,0.1,0.8,5,0.083124
100,6,0.1,0.5,5,0.084693
500,6,0.2,0.8,10,0.089878
300,6,0.05,0.5,2,0.08206
300,4,0.01,0.5,5,0.080532
500,4,0.2,0.5,10,0.08869
500,3,0.1,0.5,10,0.085168
200,3,0.05,0.5,5,0.081754
200,5,0.1,0.7,5,0.08595
500,4,0.05,0.8,2,0.083564
500,6,0.2,0.7,10,0.088123
300,4,0.05,0.6,5,0.083358
300,6,0.01,0.5,5,0.079416
300,4,0.1,0.7,2,0.083318
100,5,0.1,0.6,2,0.083098
200,4,0.05,0.5,5,0.082092
200,3,0.2,0.5,10,0.085566
500,4,0.01,0.7,10,0.080736
200,6,0.01,0.8,5,0.0843
100,3,0.05,0.8,2,0.082116
200,3,0.2,0.7,5,0.08824
500,6,0.05,0.6,10,0.081895
100,3,0.01,0.7,5,0.113219
100,4,0.1,0.5,2,0.08166
100,4,0.05,0.5,2,0.080681
500,4,0.2,0.7,10,0.089942
100,4,0.05,0.8,2,0.081521
500,4,0.2,0.7,5,0.090529
200,6,0.01,0.5,10,0.083047
500,6,0.05,0.7,5,0.082685
300,5,0.2,0.8,5,0.088953
200,4,0.01,0.6,2,0.085124
200,4,0.2,0.8,2,0.088504
500,3,0.01,0.8,10,0.081826
200,3,0.1,0.6,2,0.083815
100,5,0.2,0.6,2,0.09045
300,5,0.01,0.6,5,0.079667
200,4,0.01,0.7,10,0.08534
500,3,0.01,0.8,2,0.081958
300,3,0.1,0.7,10,0.085701
200,3,0.01,0.5,10,0.086529
100,5,0.01,0.5,2,0.109214
500,6,0.01,0.5,5,0.079627
300,4,0.01,0.8,2,0.081718
200,6,0.1,0.5,10,0.085963
