iterations,depth,learning_rate,l2_leaf_reg,bagging_temperature,val_rmse
500,6,0.1,5,0.0,0.084554
100,8,0.05,5,0.0,0.081602
100,4,0.1,1,0.5,0.082459
500,10,0.2,3,0.0,0.08375
200,6,0.2,3,1.0,0.084931
200,6,0.01,7,0.5,0.085714
200,4,0.2,1,0.0,0.084876
100,8,0.2,7,0.5,0.083521
500,10,0.1,7,0.5,0.084636
100,8,0.01,5,1.0,0.097939
500,8,0.05,5,1.0,0.082882
300,10,0.1,5,0.0,0.082491
100,6,0.2,3,1.0,0.084025
500,4,0.1,3,0.5,0.084871
300,6,0.01,1,0.0,0.082602
100,4,0.1,5,1.0,0.082251
100,4,0.1,5,0.0,0.082251
100,6,0.2,7,1.0,0.083307
200,4,0.1,5,0.5,0.082374
200,4,0.2,7,0.5,0.083782
300,8,0.2,1,0.5,0.088989
500,4,0.2,3,0.5,0.088346
100,4,0.1,3,0.0,0.082706
300,10,0.2,7,0.5,0.084781
200,4,0.01,7,1.0,0.086239
500,10,0.05,1,0.5,0.084059
500,6,0.2,3,1.0,0.085461
500,8,0.2,7,0.5,0.084108
500,10,0.2,1,0.0,0.084588
300,4,0.2,7,0.0,0.085106
200,4,0.1,7,0.0,0.08259
300,6,0.1,3,0.0,0.084559
500,4,0.1,3,0.0,0.084871
200,6,0.2,5,1.0,0.086112
100,4,0.01,5,0.0,0.09895
100,10,0.05,5,0.5,0.082837
500,8,0.2,5,0.0,0.086475
500,10,0.1,7,0.0,0.084636
200,10,0.05,1,0.0,0.082929
500,10,0.05,1,1.0,0.084059
100,10,0.05,3,0.0,0.083217
200,4,0.1,3,0.5,0.08278
200,10,0.01,5,1.0,0.08606
500,10,0.2,1,1.0,0.084588
100,6,0.2,7,0.5,0.083307
300,4,0.01,3,1.0,0.083116
100,8,0.01,3,0.0,0.097511
200,10,0.1,5,0.5,0.081953
200,10,0.05,3,0.5,0.083211
500,4,0.2,5,0.0,0.088357
200,6,0.1,5,0.0,0.082666
100,4,0.2,5,1.0,0.083831
300,6,0.2,1,1.0,0.087132
300,10,0.05,7,0.0,0.082805
100,8,0.1,5,0.5,0.082254
300,4,0.01,3,0.0,0.083116
100,6,0.1,5,1.0,0.082799
300,10,0.2,1,0.5,0.084554
200,8,0.05,1,0.0,0.082447
500,6,0.05,5,0.5,0.083825
500,6,0.01,7,0.0,0.081822
200,10,0.1,7,0.5,0.083178
500,4,0.05,3,0.0,0.082362
200,4,0.01,3,0.5,0.086117
100,6,0.05,7,1.0,0.082976
100,4,0.2,7,0.5,0.082328
500,8,0.01,3,1.0,0.081947
200,4,0.2,3,1.0,0.085915
200,8,0.01,5,1.0,0.085082
100,6,0.1,7,0.0,0.083477
500,10,0.1,3,0.5,0.083529
100,8,0.01,5,0.5,0.097939
500,10,0.01,1,1.0,0.082231
500,10,0.01,5,1.0,0.082428
300,6,0.1,5,1.0,0.083423
500,6,0.1,1,1.0,0.086768
200,10,0.2,1,0.5,0.084575
100,10,0.05,7,0.5,0.082815
200,10,0.2,5,0.5,0.082957
200,10,0.1,3,0.0,0.082816
200,4,0.05,7,0.5,0.082077
500,8,0.05,1,1.0,0.083778
200,6,0.1,7,0.0,0.084058
500,6,0.2,3,0.0,0.085461
100,6,0.1,1,0.5,0.083502
500,4,0.2,7,1.0,0.087004
500,10,0.2,1,0.5,0.084588
100,10,0.1,5,0.5,0.081546
300,10,0.05,5,0.0,0.083198
500,10,0.2,5,0.0,0.08334
100,10,0.05,7,1.0,0.082815
300,6,0.2,3,1.0,0.085189
300,4,0.01,3,0.5,0.083116
200,6,0.2,1,0.0,0.086496
500,6,0.1,5,0.5,0.084554
300,10,0.2,5,0.0,0.083092
200,4,0.1,5,1.0,0.082374
200,8,0.2,5,1.0,0.085072
100,6,0.01,7,0.0,0.098926
200,4,0.2,5,0.0,0.084631
500,10,0.1,5,1.0,0.082926
200,8,0.1,7,1.0,0.084046
300,4,0.1,1,1.0,0.083467
200,6,0.1,7,0.5,0.084058
100,6,0.05,5,0.5,0.082531
200,4,0.1,1,0.0,0.083095
500,4,0.01,3,0.5,0.081814
200,8,0.1,7,0.5,0.084046
200,4,0.1,1,0.5,0.083095
300,8,0.1,5,0.5,0.083455
300,4,0.05,7,0.0,0.081718
300,6,0.2,1,0.5,0.087132
100,10,0.01,1,1.0,0.096764
200,6,0.1,5,0.5,0.082666
500,10,0.2,3,0.5,0.08375
200,6,0.05,1,0.0,0.081867
500,10,0.1,1,0.0,0.085917
300,10,0.05,7,1.0,0.082805
200,6,0.1,3,1.0,0.084249
500,4,0.05,7,0.5,0.082152
300,6,0.01,5,0.0,0.082578
500,4,0.05,7,0.0,0.082152
300,4,0.1,1,0.0,0.083467
500,8,0.1,7,0.5,0.085508
500,6,0.2,7,1.0,0.086588
100,8,0.2,7,0.0,0.083521
300,8,0.2,3,1.0,0.084368
300,8,0.1,1,0.5,0.084217
100,6,0.2,7,0.0,0.083307
100,6,0.01,1,0.0,0.097518
100,8,0.05,3,0.5,0.081982
100,10,0.05,1,0.0,0.082455
500,10,0.05,1,0.0,0.084059
500,10,0.01,7,0.5,0.082331
500,4,0.1,7,0.5,0.085109
100,6,0.05,3,1.0,0.082404
300,4,0.01,7,0.5,0.083125
300,4,0.01,5,0.0,0.083146
500,8,0.1,7,1.0,0.085508
300,6,0.2,7,1.0,0.085673
300,10,0.05,1,0.5,0.083335
200,6,0.05,3,1.0,0.082214
300,10,0.2,1,1.0,0.084554
100,4,0.01,7,1.0,0.099071
100,8,0.05,7,0.0,0.08185
500,10,0.01,7,1.0,0.082331
500,8,0.05,1,0.5,0.083778
500,10,0.01,7,0.0,0.082331
500,10,0.2,7,0.5,0.08531
500,8,0.2,1,0.5,0.088988
300,6,0.05,1,0.5,0.082462
100,10,0.05,3,1.0,0.083217
500,8,0.05,7,0.0,0.082734
100,4,0.01,3,0.0,0.098727
500,6,0.1,1,0.5,0.086768
300,8,0.1,5,1.0,0.083455
100,10,0.2,1,1.0,0.084095
300,8,0.2,3,0.0,0.084368
100,8,0.05,1,0.0,0.081998
200,8,0.05,3,1.0,0.08202
500,6,0.01,3,1.0,0.081845
500,10,0.05,7,1.0,0.083164
500,6,0.05,1,0.0,0.08416
200,10,0.2,7,0.5,0.084399
100,10,0.05,7,0.0,0.082815
300,10,0.1,1,0.0,0.085525
300,10,0.05,3,0.0,0.083295
100,4,0.01,1,0.0,0.098538
200,8,0.2,5,0.5,0.085072
300,8,0.05,5,1.0,0.082326
100,4,0.05,5,0.5,0.082179
500,4,0.2,5,0.5,0.088357
200,10,0.1,7,1.0,0.083178
200,8,0.1,1,1.0,0.083699
200,6,0.01,3,1.0,0.085387
100,6,0.01,7,1.0,0.098926
200,6,0.01,5,0.0,0.085399
500,6,0.2,1,0.5,0.087724
500,8,0.2,3,0.0,0.084484
100,6,0.2,3,0.0,0.084025
300,8,0.05,3,1.0,0.082079
100,6,0.05,7,0.5,0.082976
300,10,0.05,3,1.0,0.083295
100,8,0.1,5,1.0,0.082254
100,8,0.1,7,1.0,0.083464
300,8,0.01,5,0.0,0.082479
300,10,0.1,7,0.5,0.083665
100,10,0.1,1,0.5,0.084928
500,10,0.2,7,1.0,0.08531
300,10,0.05,1,0.0,0.083335
300,6,0.01,1,0.5,0.082602
500,6,0.2,1,1.0,0.087724
500,4,0.1,1,1.0,0.085149
200,4,0.05,1,0.5,0.08205
200,8,0.1,5,0.5,0.082718
500,6,0.05,7,0.0,0.083337
500,10,0.2,5,1.0,0.08334
300,6,0.05,3,0.5,0.082503
300,10,0.01,1,0.5,0.082606
300,6,0.1,5,0.0,0.083423
100,8,0.1,3,0.0,0.083337
200,6,0.05,1,0.5,0.081867
200,4,0.2,1,1.0,0.084876
500,6,0.01,5,1.0,0.081558
200,10,0.01,7,0.5,0.08659
100,4,0.05,7,0.0,0.082812
200,4,0.2,5,0.5,0.084631
500,10,0.05,3,1.0,0.083756
100,4,0.01,5,0.5,0.09895
100,6,0.1,1,0.0,0.083502
100,6,0.05,1,0.0,0.081781
500,6,0.2,5,1.0,0.087814
100,6,0.05,7,0.0,0.082976
500,6,0.2,5,0.5,0.087814
200,10,0.01,1,1.0,0.084732
500,10,0.05,5,0.5,0.083571
300,8,0.2,7,0.5,0.083881
200,6,0.01,3,0.0,0.085387
200,6,0.2,7,0.0,0.084795
500,4,0.01,7,1.0,0.081806
200,4,0.1,3,0.0,0.08278
100,8,0.2,3,0.0,0.083228
300,8,0.01,3,0.5,0.082453
200,6,0.01,5,1.0,0.085399
500,4,0.01,7,0.0,0.081806
300,4,0.1,5,1.0,0.083469
200,4,0.01,1,1.0,0.085974
100,8,0.01,1,0.0,0.096628
500,10,0.01,1,0.5,0.082231
300,6,0.01,7,0.0,0.082808
200,10,0.1,1,1.0,0.084987
500,4,0.01,1,0.5,0.081718
300,4,0.2,1,0.0,0.086096
300,6,0.2,7,0.5,0.085673
100,6,0.01,5,0.5,0.098417
100,8,0.01,3,0.5,0.097511
100,6,0.05,1,1.0,0.081781
300,4,0.1,3,0.5,0.083704
200,10,0.01,7,1.0,0.08659
100,8,0.05,3,0.0,0.081982
200,6,0.05,1,1.0,0.081867
500,8,0.1,5,1.0,0.084147
500,6,0.01,3,0.0,0.081845
500,10,0.05,3,0.5,0.083756
100,8,0.2,7,1.0,0.083521
500,6,0.01,7,0.5,0.081822
100,10,0.2,5,0.5,0.081131
500,4,0.2,7,0.5,0.087004
500,8,0.01,3,0.5,0.081947
200,6,0.05,3,0.0,0.082214
100,6,0.1,3,1.0,0.083077
300,6,0.05,7,0.0,0.083033
300,10,0.01,3,0.5,0.083124
100,6,0.01,3,0.0,0.098068
100,4,0.05,3,0.0,0.082842
500,10,0.1,5,0.0,0.082926
200,6,0.01,1,1.0,0.085039
100,6,0.2,1,0.5,0.084791
200,4,0.05,3,0.5,0.081979
300,10,0.05,3,0.5,0.083295
500,8,0.1,7,0.0,0.085508
100,8,0.05,1,0.5,0.081998
300,6,0.01,7,0.5,0.082808
500,6,0.1,3,0.0,0.08556
300,10,0.2,3,0.5,0.083665
500,10,0.1,5,0.5,0.082926
100,6,0.2,1,0.0,0.084791
300,8,0.2,7,0.0,0.083881
100,4,0.01,1,0.5,0.098538
200,4,0.01,5,0.5,0.086206
500,8,0.01,5,0.5,0.081979
300,6,0.2,5,0.0,0.086443
300,4,0.05,3,1.0,0.081714
300,8,0.05,3,0.0,0.082079
200,4,0.2,3,0.5,0.085915
500,8,0.01,1,0.5,0.08206
500,4,0.01,1,0.0,0.081718
200,10,0.05,5,1.0,0.083073
200,10,0.2,1,1.0,0.084575
300,8,0.05,1,1.0,0.083306
500,8,0.05,7,0.5,0.082734
300,10,0.1,1,0.5,0.085525
500,10,0.01,1,0.0,0.082231
200,6,0.01,7,0.0,0.085714
100,6,0.1,5,0.5,0.082799
100,8,0.01,1,0.5,0.096628
100,10,0.01,5,0.5,0.09966
300,10,0.01,1,0.0,0.082606
100,4,0.1,3,1.0,0.082706
500,8,0.1,3,0.0,0.084679
200,10,0.2,3,0.5,0.083409
200,6,0.2,1,0.5,0.086496
100,4,0.1,5,0.5,0.082251
300,10,0.2,5,0.5,0.083092
100,10,0.05,3,0.5,0.083217
500,6,0.01,3,0.5,0.081845
500,10,0.2,7,0.0,0.08531
200,8,0.01,7,1.0,0.08551
200,6,0.01,3,0.5,0.085387
500,6,0.01,1,1.0,0.081969
