n_estimators,max_depth,learning_rate,min_samples_split,val_rmse
100,3,0.01,2,0.098954
100,3,0.01,5,0.098954
100,3,0.01,10,0.098954
100,3,0.05,2,0.081885
100,3,0.05,5,0.08188
100,3,0.05,10,0.081785
100,3,0.1,2,0.083141
100,3,0.1,5,0.08263
100,3,0.1,10,0.082698
100,3,0.2,2,0.084844
100,3,0.2,5,0.08412
100,3,0.2,10,0.083456
100,4,0.01,2,0.09782
100,4,0.01,5,0.09782
100,4,0.01,10,0.09782
100,4,0.05,2,0.083051
100,4,0.05,5,0.083164
100,4,0.05,10,0.08337
100,4,0.1,2,0.08444
100,4,0.1,5,0.084421
100,4,0.1,10,0.085311
100,4,0.2,2,0.085797
100,4,0.2,5,0.086105
100,4,0.2,10,0.086754
100,5,0.01,2,0.096707
100,5,0.01,5,0.096711
100,5,0.01,10,0.09657
100,5,0.05,2,0.084702
100,5,0.05,5,0.085269
100,5,0.05,10,0.085672
100,5,0.1,2,0.086312
100,5,0.1,5,0.086182
100,5,0.1,10,0.086071
100,5,0.2,2,0.08855
100,5,0.2,5,0.088174
100,5,0.2,10,0.088013
100,6,0.01,2,0.096119
100,6,0.01,5,0.096327
100,6,0.01,10,0.096539
100,6,0.05,2,0.085412
100,6,0.05,5,0.085518
100,6,0.05,10,0.086273
100,6,0.1,2,0.087018
100,6,0.1,5,0.086939
100,6,0.1,10,0.08705
100,6,0.2,2,0.086837
100,6,0.2,5,0.088166
100,6,0.2,10,0.088178
200,3,0.01,2,0.086606
200,3,0.01,5,0.086606
200,3,0.01,10,0.086606
200,3,0.05,2,0.082517
200,3,0.05,5,0.082261
200,3,0.05,10,0.082123
200,3,0.1,2,0.084282
200,3,0.1,5,0.084882
200,3,0.1,10,0.084649
200,3,0.2,2,0.086999
200,3,0.2,5,0.086928
200,3,0.2,10,0.085416
200,4,0.01,2,0.086112
200,4,0.01,5,0.086123
200,4,0.01,10,0.086076
200,4,0.05,2,0.083428
200,4,0.05,5,0.083485
200,4,0.05,10,0.083611
200,4,0.1,2,0.086123
200,4,0.1,5,0.086263
200,4,0.1,10,0.087195
200,4,0.2,2,0.087872
200,4,0.2,5,0.087568
200,4,0.2,10,0.087859
200,5,0.01,2,0.085465
200,5,0.01,5,0.085399
200,5,0.01,10,0.085503
200,5,0.05,2,0.085528
200,5,0.05,5,0.085633
200,5,0.05,10,0.086793
200,5,0.1,2,0.087127
200,5,0.1,5,0.087024
200,5,0.1,10,0.087415
200,5,0.2,2,0.090517
200,5,0.2,5,0.089212
200,5,0.2,10,0.089559
200,6,0.01,2,0.084911
200,6,0.01,5,0.085104
200,6,0.01,10,0.08544
200,6,0.05,2,0.085886
200,6,0.05,5,0.085695
200,6,0.05,10,0.086589
200,6,0.1,2,0.087998
200,6,0.1,5,0.087337
200,6,0.1,10,0.087624
200,6,0.2,2,0.087339
200,6,0.2,5,0.089075
200,6,0.2,10,0.08982
300,3,0.01,2,0.083319
300,3,0.01,5,0.083319
300,3,0.01,10,0.083283
300,3,0.05,2,0.083247
300,3,0.05,5,0.083101
300,3,0.05,10,0.083203
300,3,0.1,2,0.08534
300,3,0.1,5,0.085513
300,3,0.1,10,0.085865
300,3,0.2,2,0.089324
300,3,0.2,5,0.088338
300,3,0.2,10,0.087351
300,4,0.01,2,0.083431
300,4,0.01,5,0.083542
300,4,0.01,10,0.083464
300,4,0.05,2,0.083949
300,4,0.05,5,0.084769
300,4,0.05,10,0.084322
300,4,0.1,2,0.087093
300,4,0.1,5,0.087347
300,4,0.1,10,0.088229
300,4,0.2,2,0.088775
300,4,0.2,5,0.0884
300,4,0.2,10,0.088069
300,5,0.01,2,0.083653
300,5,0.01,5,0.083387
300,5,0.01,10,0.083484
300,5,0.05,2,0.086355
300,5,0.05,5,0.086046
300,5,0.05,10,0.087442
300,5,0.1,2,0.087447
300,5,0.1,5,0.087509
300,5,0.1,10,0.088314
300,5,0.2,2,0.090858
300,5,0.2,5,0.089552
300,5,0.2,10,0.090712
300,6,0.01,2,0.084104
300,6,0.01,5,0.084875
300,6,0.01,10,0.08528
300,6,0.05,2,0.086625
300,6,0.05,5,0.086463
300,6,0.05,10,0.086682
300,6,0.1,2,0.088377
300,6,0.1,5,0.087279
300,6,0.1,10,0.088029
300,6,0.2,2,0.087219
300,6,0.2,5,0.089136
300,6,0.2,10,0.08993
500,3,0.01,2,0.082321
500,3,0.01,5,0.082217
500,3,0.01,10,0.08217
500,3,0.05,2,0.084993
500,3,0.05,5,0.084804
500,3,0.05,10,0.084817
500,3,0.1,2,0.086833
500,3,0.1,5,0.087018
500,3,0.1,10,0.087115
500,3,0.2,2,0.091769
500,3,0.2,5,0.089437
500,3,0.2,10,0.089412
500,4,0.01,2,0.083075
500,4,0.01,5,0.083196
500,4,0.01,10,0.083145
500,4,0.05,2,0.085036
500,4,0.05,5,0.086354
500,4,0.05,10,0.08567
500,4,0.1,2,0.088689
500,4,0.1,5,0.088207
500,4,0.1,10,0.090186
500,4,0.2,2,0.08959
500,4,0.2,5,0.089336
500,4,0.2,10,0.088457
500,5,0.01,2,0.084302
500,5,0.01,5,0.083711
500,5,0.01,10,0.083703
500,5,0.05,2,0.087393
500,5,0.05,5,0.087321
500,5,0.05,10,0.088078
500,5,0.1,2,0.088035
500,5,0.1,5,0.088475
500,5,0.1,10,0.088829
500,5,0.2,2,0.090851
500,5,0.2,5,0.08956
500,5,0.2,10,0.091209
500,6,0.01,2,0.085201
500,6,0.01,5,0.085556
500,6,0.01,10,0.086182
500,6,0.05,2,0.087528
500,6,0.05,5,0.08704
500,6,0.05,10,0.087487
500,6,0.1,2,0.088849
500,6,0.1,5,0.087443
500,6,0.1,10,0.088305
500,6,0.2,2,0.087196
500,6,0.2,5,0.089143
500,6,0.2,10,0.090026
