n_estimators,num_leaves,learning_rate,subsample,colsample_bytree,min_child_samples,val_rmse
100,127,0.01,0.8,0.8,10,0.094118
100,31,0.05,1.0,1.0,10,0.084494
200,127,0.01,1.0,0.8,30,0.083087
200,63,0.1,0.8,1.0,10,0.085613
200,63,0.01,1.0,1.0,20,0.085015
100,127,0.1,0.8,1.0,10,0.087334
100,63,0.2,1.0,0.6,30,0.086101
500,63,0.05,0.8,0.6,10,0.085504
100,63,0.1,0.8,1.0,20,0.086693
500,127,0.01,1.0,0.8,10,0.084422
300,127,0.01,0.6,0.6,10,0.082035
100,31,0.1,0.8,0.6,30,0.084274
100,31,0.1,0.6,1.0,20,0.085614
100,63,0.2,0.6,0.6,30,0.086101
200,63,0.01,0.8,1.0,10,0.084501
200,63,0.05,0.8,1.0,30,0.085782
500,31,0.1,0.6,1.0,30,0.087858
500,127,0.05,0.8,1.0,30,0.08691
100,31,0.1,0.6,0.6,10,0.082391
500,63,0.1,0.8,1.0,10,0.085681
200,31,0.2,0.6,0.6,30,0.086491
300,63,0.2,1.0,0.8,20,0.086167
200,63,0.01,1.0,0.6,20,0.0824
300,127,0.1,0.6,0.6,20,0.084671
500,127,0.01,1.0,0.6,10,0.08296
200,127,0.05,0.6,0.6,30,0.083821
100,31,0.01,0.8,0.8,20,0.094754
200,31,0.01,0.6,0.6,30,0.082172
300,127,0.01,0.6,0.6,20,0.081758
300,31,0.05,1.0,0.8,10,0.085629
100,127,0.2,1.0,0.8,10,0.085714
200,63,0.01,0.6,1.0,30,0.0835
300,31,0.05,0.8,0.8,30,0.085485
100,63,0.2,0.6,0.6,10,0.086312
300,63,0.01,1.0,0.8,20,0.083089
100,63,0.2,0.8,0.6,10,0.086312
300,31,0.2,0.6,1.0,10,0.08775
300,31,0.1,0.6,0.6,30,0.086962
500,127,0.05,1.0,0.8,10,0.086479
200,127,0.01,0.6,0.6,20,0.082544
100,31,0.2,0.6,1.0,20,0.089978
300,127,0.1,1.0,0.8,20,0.085864
500,63,0.01,1.0,0.6,10,0.083113
100,127,0.05,0.8,0.8,10,0.085943
300,63,0.01,1.0,0.6,20,0.081574
100,63,0.05,1.0,1.0,30,0.084284
500,63,0.05,1.0,0.8,30,0.085993
200,127,0.1,0.6,1.0,10,0.087549
500,127,0.2,1.0,0.6,10,0.085302
500,127,0.1,1.0,1.0,10,0.087549
300,31,0.2,0.8,0.6,30,0.086788
500,63,0.2,1.0,0.8,10,0.087554
200,31,0.1,0.8,1.0,10,0.086408
100,63,0.05,0.6,1.0,20,0.085347
100,31,0.2,0.8,0.8,10,0.086161
200,63,0.05,0.6,1.0,20,0.08647
200,127,0.05,1.0,1.0,20,0.085899
100,63,0.1,0.6,0.6,20,0.084532
100,63,0.2,0.8,1.0,30,0.087709
300,127,0.1,0.8,0.6,20,0.084671
300,31,0.2,1.0,0.6,10,0.086408
200,31,0.01,0.8,0.6,10,0.082197
300,63,0.01,0.6,0.6,30,0.081187
300,31,0.1,1.0,1.0,20,0.08836
200,31,0.2,1.0,1.0,10,0.087638
200,127,0.01,0.6,1.0,10,0.086815
100,63,0.05,0.8,0.6,30,0.082466
500,127,0.1,0.6,0.8,30,0.086347
200,31,0.01,1.0,1.0,30,0.083223
500,63,0.01,0.8,0.8,20,0.083765
200,31,0.01,0.8,0.6,20,0.082309
300,127,0.2,0.6,0.6,20,0.087067
300,63,0.01,1.0,0.8,10,0.082971
200,127,0.01,0.8,0.8,10,0.083895
500,63,0.1,0.6,1.0,10,0.085681
200,63,0.01,0.8,1.0,30,0.0835
300,31,0.01,0.8,1.0,20,0.082879
100,63,0.01,0.6,1.0,10,0.094367
200,63,0.05,0.8,0.6,20,0.083762
200,127,0.2,1.0,1.0,20,0.090127
300,63,0.1,0.8,0.6,30,0.085455
200,127,0.01,0.6,1.0,30,0.0835
100,63,0.05,0.6,0.6,10,0.084074
200,63,0.01,0.6,0.6,10,0.082846
500,63,0.2,0.6,0.6,10,0.086404
200,127,0.2,1.0,0.8,30,0.085675
200,63,0.01,0.6,0.8,10,0.083676
500,31,0.05,1.0,0.8,30,0.087175
300,63,0.1,0.6,0.6,10,0.083913
300,127,0.1,1.0,0.8,10,0.083993
100,127,0.1,1.0,0.8,20,0.084774
