n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,val_rmse
500,3,0.01,0.8,0.6,0.0,1.0,0.07758
100,5,0.01,0.7,1.0,0.1,1.0,0.11304
100,3,0.05,1.0,0.8,1.0,1.0,0.078078
500,5,0.01,0.6,1.0,1.0,2.0,0.078995
200,4,0.01,1.0,0.8,0.1,1.0,0.084287
200,3,0.1,0.8,0.6,1.0,2.0,0.077994
200,3,0.01,1.0,1.0,0.0,1.5,0.085541
100,5,0.1,0.8,0.8,0.0,1.0,0.079723
500,4,0.2,1.0,0.8,0.1,1.0,0.080721
100,4,0.2,1.0,0.6,0.0,2.0,0.078631
500,3,0.2,0.7,0.6,1.0,2.0,0.080141
500,5,0.01,0.6,1.0,0.0,1.5,0.076959
300,5,0.05,0.7,0.8,0.1,1.0,0.079677
100,4,0.1,0.8,0.8,0.0,1.5,0.079466
300,6,0.01,1.0,0.6,0.1,1.5,0.078657
300,3,0.01,0.6,0.6,0.0,1.0,0.079097
100,3,0.1,0.7,0.8,1.0,2.0,0.079047
100,3,0.1,0.7,0.6,0.0,1.5,0.07848
100,4,0.2,0.6,0.8,0.0,2.0,0.081571
200,3,0.01,0.8,0.8,0.0,1.0,0.085544
200,3,0.05,0.8,0.8,1.0,1.0,0.077968
300,4,0.1,0.7,0.6,1.0,2.0,0.078556
300,6,0.05,0.8,0.8,1.0,2.0,0.078085
100,3,0.1,0.6,0.6,0.0,1.5,0.079636
300,5,0.1,0.8,0.6,1.0,1.5,0.078003
100,6,0.2,0.6,0.6,1.0,2.0,0.080148
500,4,0.1,0.7,0.6,1.0,1.0,0.078741
500,3,0.05,0.7,0.6,0.1,1.5,0.07922
500,4,0.05,0.6,1.0,0.1,1.0,0.080139
300,5,0.05,0.7,0.8,0.0,1.0,0.079377
200,6,0.2,1.0,0.6,1.0,1.5,0.079568
200,3,0.01,0.8,1.0,0.1,2.0,0.08605
300,3,0.1,0.6,0.6,1.0,1.5,0.078889
300,6,0.01,0.8,1.0,0.1,1.0,0.078427
200,4,0.05,0.6,0.8,0.0,1.5,0.079506
