C,epsilon,kernel,val_rmse
0.1,0.01,rbf,0.055818
0.1,0.01,linear,0.054932
0.1,0.05,rbf,0.056765
0.1,0.05,linear,0.055735
0.1,0.1,rbf,0.065413
0.1,0.1,linear,0.062512
0.1,0.5,rbf,0.231209
0.1,0.5,linear,0.231209
1.0,0.01,rbf,0.055558
1.0,0.01,linear,0.055159
1.0,0.05,rbf,0.056833
1.0,0.05,linear,0.055337
1.0,0.1,rbf,0.064575
1.0,0.1,linear,0.061112
1.0,0.5,rbf,0.231209
1.0,0.5,linear,0.231209
10.0,0.01,rbf,0.056275
10.0,0.01,linear,0.055183
10.0,0.05,rbf,0.058032
10.0,0.05,linear,0.055313
10.0,0.1,rbf,0.062437
10.0,0.1,linear,0.060469
10.0,0.5,rbf,0.231209
10.0,0.5,linear,0.231209
100.0,0.01,rbf,0.058153
100.0,0.01,linear,0.055183
100.0,0.05,rbf,0.059531
100.0,0.05,linear,0.055322
100.0,0.1,rbf,0.063556
100.0,0.1,linear,0.060508
100.0,0.5,rbf,0.231209
100.0,0.5,linear,0.231209
