filters,lstm_units,dropout,lr,kernel_size,val_rmse
32,32,0.1,0.001,3,0.082699
32,32,0.1,0.001,5,0.082123
32,32,0.1,0.0005,3,0.084975
32,32,0.1,0.0005,5,0.081115
32,32,0.2,0.001,3,0.084961
32,32,0.2,0.001,5,0.083543
32,32,0.2,0.0005,3,0.083647
32,32,0.2,0.0005,5,0.086091
32,64,0.1,0.001,3,0.083366
32,64,0.1,0.001,5,0.081119
32,64,0.1,0.0005,3,0.083068
32,64,0.1,0.0005,5,0.081703
32,64,0.2,0.001,3,0.083597
32,64,0.2,0.001,5,0.081335
32,64,0.2,0.0005,3,0.083329
32,64,0.2,0.0005,5,0.081924
64,32,0.1,0.001,3,0.083189
64,32,0.1,0.001,5,0.082742
64,32,0.1,0.0005,3,0.084304
64,32,0.1,0.0005,5,0.081413
64,32,0.2,0.001,3,0.085125
64,32,0.2,0.001,5,0.083553
64,32,0.2,0.0005,3,0.085381
64,32,0.2,0.0005,5,0.08249
64,64,0.1,0.001,3,0.082981
64,64,0.1,0.001,5,0.081164
64,64,0.1,0.0005,3,0.082824
64,64,0.1,0.0005,5,0.081299
64,64,0.2,0.001,3,0.083313
64,64,0.2,0.001,5,0.082001
64,64,0.2,0.0005,3,0.083033
64,64,0.2,0.0005,5,0.08147
