C,epsilon,kernel,val_rmse
0.1,0.01,rbf,0.074487
0.1,0.01,linear,0.071842
0.1,0.05,rbf,0.074511
0.1,0.05,linear,0.072323
0.1,0.1,rbf,0.076494
0.1,0.1,linear,0.072638
0.1,0.5,rbf,0.249443
0.1,0.5,linear,0.249443
1.0,0.01,rbf,0.074161
1.0,0.01,linear,0.071583
1.0,0.05,rbf,0.074499
1.0,0.05,linear,0.07199
1.0,0.1,rbf,0.075111
1.0,0.1,linear,0.071227
1.0,0.5,rbf,0.249443
1.0,0.5,linear,0.249443
10.0,0.01,rbf,0.075942
10.0,0.01,linear,0.071547
10.0,0.05,rbf,0.07524
10.0,0.05,linear,0.071922
10.0,0.1,rbf,0.077893
10.0,0.1,linear,0.071151
10.0,0.5,rbf,0.249443
10.0,0.5,linear,0.249443
100.0,0.01,rbf,0.080235
100.0,0.01,linear,0.071543
100.0,0.05,rbf,0.081401
100.0,0.05,linear,0.071938
100.0,0.1,rbf,0.076793
100.0,0.1,linear,0.071157
100.0,0.5,rbf,0.249443
100.0,0.5,linear,0.249443
